image_path,class_name,food,freshness_stage,shelf_life_min,shelf_life_max,shelf_life_midpoint,file_extension,file_size_bytes
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_126_IMG_20251102_081020400_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,16720
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_127_IMG_20251103_192250669_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,15964
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_128_Banana (15).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,24274
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_129_Banana (8).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,27173
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_12_IMG_20251120_203634670_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,22124
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_130_IMG_20251102_081029133_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,23121
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_131_Banana (19).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,30058
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_132_IMG_20251119_201349310_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,25579
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_133_IMG_20251102_080945915_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14505
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_134_IMG_20251121_144404567_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,35130
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_135_IMG_20251102_080938228_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,24509
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_136_IMG_20251104_131821580_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,24223
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_137_IMG_20251119_201341756_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,23413
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_138_IMG_20251120_203623371_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,18586
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_139_IMG_20251121_144354102_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,30450
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_13_IMG_20251121_143932789_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,33072
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_140_Banana (8).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,26488
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_141_IMG_20251119_201526954_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,19142
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_142_IMG_20251104_131644355_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,28624
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_143_IMG_20251104_131713223_HDR_AE~5.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,37828
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_144_IMG_20251120_203630376_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,17041
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_145_IMG_20251104_131834863_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14888
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_146_IMG_20251104_131713223_HDR_AE~3.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,20347
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_147_IMG_20260120_095546193_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,26200
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_148_IMG_20251120_203609940_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14376
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_149_IMG_20251121_144009632_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29335
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_14_IMG_20251120_203131162_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,20274
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_150_IMG_20251119_201314202_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,15978
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_151_IMG_20251121_143919361_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29686
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_152_IMG_20251120_203321113_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,18608
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_153_IMG_20251119_201407916_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,20800
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_154_IMG_20251121_144244535_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,41928
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_155_IMG_20251121_144404567_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,35151
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_156_Banana (11).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,27603
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_157_IMG_20251121_144149316_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29188
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_158_Banana (23).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,41193
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_159_IMG_20251121_144404567_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,33988
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_15_IMG_20251119_201513026_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14445
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_160_Banana (23).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,37826
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_161_Banana (8).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,17839
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_162_IMG_20251120_203225275_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,16646
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_163_IMG_20251121_143835911_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,21268
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_164_IMG_20251120_203506939_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,12964
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_165_IMG_20251121_144111875_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,39739
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_166_IMG_20251102_075746888_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,33036
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_167_Banana (5).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,23789
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_168_IMG_20251121_144250166_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,41972
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_169_IMG_20251119_201224747_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,23473
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_16_IMG_20251120_203131162_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,18217
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_170_IMG_20251104_131713223_HDR_AE~6.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,31903
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_171_IMG_20251102_075842044_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,37060
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_172_IMG_20251121_144232837_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,26215
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_173_IMG_20251121_144103499_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,25203
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_174_IMG_20251119_201248053_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,21509
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_175_Banana (6).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,24599
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_176_IMG_20251121_144032307_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,33701
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_177_IMG_20251121_144111875_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,33132
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_178_IMG_20251103_192238942_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,21442
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_179_IMG_20251119_201217560_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,22013
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_17_IMG_20251119_201314202_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,18481
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_180_IMG_20251119_201314202_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14412
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_181_IMG_20251102_075829694_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,30908
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_182_IMG_20251102_075746888_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29391
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_183_IMG_20251119_201341756_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,15378
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_184_IMG_20251120_203623371_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,17080
